id,name,prefix_url,suffix_url
1,"Nomor Telpon","tel:",""
2,"Nomor HP","tel:",""
3,"Nomor Fax","tel:",""
4,"Email","mailto:",""
5,"WhatsApp","https://api.whatsapp.com/send?phone=",""
6,"Facebook","https://www.facebook.com/",""
7,"Twitter","https://twitter.com/",""
8,"Instagram","https://www.instagram.com/",""
9,"Youtube","https://www.youtube.com/",""
10,"Google+","https://plus.google.com/",""
11,"Linkedin","https://www.linkedin.com/",""
12,"Pinterest","https://www.pinterest.com/",""
13,"Tumblr","https://www.tumblr.com/",""
14,"Flickr","https://www.flickr.com/",""
15,"Vimeo","https://vimeo.com/",""
16,"Dribbble","https://dribbble.com/",""
17,"Behance","https://www.behance.net/",""
18,"Deviantart","https://www.deviantart.com/",""
19,"Soundcloud","https://soundcloud.com/",""
20,"Spotify","https://open.spotify.com/",""
21,"Vine","https://vine.co/",""
22,"Github","https://github.com/",""
