id,name
1,Sekretariat DPRD
2,Bupati Donggala
3,Wakil Bupati Donggala
4,Sekretariat Daerah
5,Bagian Administrasi Pemerintahan Umum
6,Bagian Hubungan Masyarakat
7,Bagian Administrasi Kesejahteraan Rakyat dan Kemasyarakatan
8,Bagian Administrasi Perekonomian
9,Bagian Administrasi Pembangunan dan Sumber Daya Alam
10,Bagian Organisasi
11,Bagian Hukum dan Perundang-undangan
12,Bagian Perlengkapan Dan Umum
13,Bagian Layanan Pengadaan Barang dan Jasa
14,Dinas Pekerjaan Umum
15,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan"
16,Dinas Perhubungan
17,Dinas Komunikasi dan Informatika
18,Dinas Kesehatan
19,Puskesmas Donggala
20,Pustu Loli Tasiburi
21,Pustu Kabonga Besar
22,Pustu Bone Oge
23,Pustu Lumbudolo
24,Pustu Limboro
25,Polindes Loli Oge
26,Polindes Loli Tasiburi
27,Poskedes Kabonga Kecil
28,Poskedes Ganti
29,Poskedes Powelua
30,Poskedes Salubomba
31,Poskesdes Loli Saluran
32,Pustu Loli Dondo
33,Pustu Powelua
34,Pustu Towale
35,Poskesdes Kola-Kola
36,Poskesdes Lumbudolo
37,Polindes Salu bomba
38,Puskesmas Delatope
39,Puskesmas Lembasada
40,Pustu Mbuwu
41,Pustu Watatu
42,Pustu Lalombi
43,Pustu Bambarini
44,Pustu Tosale
45,Poskedes Salungkaenu
46,Poskedes Lino
47,Poskedes Salumpaku
48,Poskedes Tanah Mea
49,Poskedes Lumbumamara
50,Poskedes Lumbutarombo
51,Poskesdes Watatu
52,Pustu Lumbumamara
53,Pustu Surumana
54,Pustu Tanampulu
55,Poskesdes Tolongano
56,Puskesmas Lalundu
57,Pustu Minti Makmur
58,Pustu Polanto Jaya
59,Pustu Polando Jaya
60,Pustu Rio Mukti
61,Pustu Panca Mukti
62,Pustu Lalundu
63,Pustu Bonemarawa
64,Pustu Towiora
65,Pustu Pakava
66,Poskesdes Minti Makmur
67,Polindes Rio Mukti
68,Polindes Panca Mukti
69,Polindes Lalundu Utama
70,Polindes Bonemarawa
71,Poskesdes Ngowi
72,Poskedes Tinauka
73,Poskesdes Pantolebete
74,Puskesmas Lalundu Despot
75,Puskesmas Pinembani
76,Pustu Palintuma
77,Pustu Tamado
78,Polindes Gimpubia
79,Polindes Dangara'a
80,Puskesmas Wani
81,Pustu Wombo Induk
82,Pustu Nupabomba
83,Pustu Kebun Kopi
84,Pustu Guntarano
85,Poskedes Wani II
86,Poskedes Wombo Kalonggo
87,Polindes Wani II
88,Poskesdes Bale
89,Puskesmas Labuan
90,Pustu Anutamboto
91,Pustu Anutaporo
92,Polindes Labuan Lelea
93,Polindes Labuan Induk
94,Polindes Labuan Panimba
95,Poskedes Toposo
96,Poskedes Salumbone
97,Polindes Kungguma
98,Puskesmas Alindau
99,Puskesmas Batusuya
100,Pustu Saloya
101,Pustu Tibo
102,Pustu Tamarenja
103,Pustu Oti
104,Pustu Sikara
105,Polindes Kaliburu
106,Polindes Tamarenja
107,Polindes Oti
108,Polindes Alindau
109,Puskesmas Toaya
110,Pustu Dalaka
111,Pustu Sumari
112,Polindes Lero Tatari
113,Poskedes Masaingi
114,Poskedes Marana
115,Polindes Enu
116,Poskedes Kumbasa
117,Poskedes Taripa
118,Pustu Lero
119,Puskesmas Tompe
120,Pustu Lende
121,Pustu Tanjung Padang
122,Pustu Sipi
123,Pustu Tondo
124,Pustu Ombo
125,Poskedes Ujumbou
126,Polindes Ombo
127,Polindes Jono Oge
128,Polindes Dampal
129,Polindes Sibado
130,Polindes Lompio
131,Poskesdes Sibadu
132,poskesdes jono Oge
133,Poskesdes jondo Sirenja
134,Poskesdes Lende Ntovea
135,Poskesdes Tondo
136,Puskesmas Tambu
137,Pustu Labean
138,Pustu Siweli
139,Pustu Sibualong
140,Pustu Sibayu
141,Pustu Tovea Tambu
142,Polindes Malino
143,Puskesmas Malei
144,Pustu Malei
145,Pustu Ketong
146,Pustu Rano
147,Pustu Pomolulu
148,Poskedes Kamonji
149,Polindes Walandano
150,Polindes Ketong
151,Poskedes Manimbaya
152,Puskesmas Sabang
153,Pustu Kambayang
154,Pustu Talaga
155,Pustu Sioyong
156,Pustu Karya Mukti
157,Pustu Budi Mukti
158,Pustu Panii
159,Pustu Ponggerang
160,Pustu Malonas
161,Pustu Rerang
162,Pustu Lembah Mukti
163,Pustu Parisan Agung
164,Poskedes Simantomo
165,Polindes Karya Mukti
166,Polindes Malonas
167,Polindes Lambah Mukti
168,Puskesmas Balukang
169,Pustu Bou
170,Pustu Siwalempu
171,Pustu Siboang
172,Pustu Samalili
173,Pustu Tonggolobibi
174,Pustu Bukit Harapan
175,Pustu Ou
176,Polindes Maputi
177,Pustu Pangalaseang
178,Puskemas Tonggolobibi
179,Puskesmas Ogoamas
180,Pustu Ogoamasa II
181,Pustu Lenju
182,Pustu Pesik
183,Rumah Sakit Umum Daerah Tambu
184,Badan Rumah Sakit Umum Daerah Kabelota
185,Dinas Pengendalian Penduduk dan Keluarga Berencana
186,Dinas Pendidikan dan Kebudayaan
187,UPTD Kec. Banawa
188,SDN 1 Banawa
189,SDN 6 Banawa
190,SDN 4 Banawa
191,SDN 9 Banawa
192,SDN 5 Banawa
193,SDN 13 Banawa
194,SDN 7 Banawa
195,SDN 3 Banawa
196,SDN 10 Banawa
197,SDN 2 Banawa
198,SDN 8 Banawa
199,SDN 14 Banawa
200,SDN 17 Banawa
201,SDN 22 Banawa
202,SDN 15 Banawa
203,SDN 16 Banawa
204,SDN 11 Banawa
205,SDN 12 Banawa
206,SDN 19 Banawa
207,SDN 20 Banawa
208,SDN 26 Banawa
209,SDN 18 Banawa
210,SDN 23 Banawa
211,SDN 24 Banawa
212,SDN 25 Banawa
213,SMP Negeri 1 Banawa
214,SMP Negeri 2 Banawa
215,SMP Negeri 3 Banawa
216,SMP Negeri 4 Banawa
217,SMP Negeri 5 Banawa
218,SMP Negeri 6 Banawa
219,SDN 21 Banawa
220,Sanggar Kegiatan Belajar (SKB) Mavali Banawa
221,SMPN Satap 4 Banawa
222,SDN 5 Banawa Tengah
223,SDN 4 Banawa Tengah
224,SDN 7 Banawa Tengah
225,SDN 2 Banawa Tengah
226,SDN 6 Banawa Tengah
227,SDN 10 Banawa Tengah
228,SDN 1 Banawa Tengah
229,SDN 3 Banawa Tengah
230,SDN 8 Banawa Tengah
231,SDN 9 Banawa Tengah
232,SMP Negeri 1 Banawa Tengah
233,SMP Negeri 2 Banawa Tengah
234,UPTD Kec. Banawa Tengah
235,SMPN Satap 3 Banawa Tengah
236,SDN 12 Banawa Tengah
237,SDN 11 Banawa Tengah
238,SDN 13 Banawa Tengah
239,SMPN SATAP 4 BANAWA TENGAH
240,UPTD Kec. Banawa Selatan
241,SDN 2 Banawa Selatan
242,SDN 1 Banawa Selatan
243,SD Negeri Tanahmea
244,SDN 4 Banawa Selatan
245,SDN 6 Banawa Selatan
246,SDN 3 Banawa Selatan
247,SDN 8 Banawa Selatan
248,SDN 17 Banawa Selatan
249,SDN 13 Banawa Selatan
250,SDN 27 Banawa Selatan
251,SDN 18 Banawa Selatan
252,SDN 19 Banawa Selatan
253,SDN 16 Banawa Selatan
254,SDN 15 Banawa Selatan
255,SDN 14 Banawa Selatan
256,SDN 20 Banawa Selatan
257,SDN 23 Banawa Selatan
258,SDN 28 Banawa Selatan
259,SDN 24 Banawa Selatan
260,SDN 10 Banawa Selatan
261,SDN 9 Banawa Selatan
262,SDN 7 Banawa Selatan
263,SDN 12 Banawa Selatan
264,SDN 29 Banawa Selatan
265,SDN 5 Banawa Selatan
266,SMP Negeri 1 Banawa Selatan
267,SMP Negeri 2 Banawa Selatan
268,SDN 25 Banawa Selatan
269,SDN 11 Banawa Selatan
270,SDN 21 Banawa Selatan
271,SMPN Satap 3 Banawa Selatan
272,SDN 22 Banawa Selatan
273,SMP Negeri 5 Banawa Selatan
274,SMPN Satap 5 Banawa Selatan
275,SMPN Satap 6 Banawa Selatan
276,SDN 3 Lumbumamara
277,SMPN Satap 8 Banawa Selatan
278,SDN 32 Banawa Selatan
